,Utterance,Label
1144,Keshu ji was saying that you were going on a hunger strike for the slum!,non-humor
1145,Oh the slum.,non-humor
1146,Yes yes! My spot boy lives there. Vijay,non-humor
1147,He came to me yesterday and said Madam is removing my hut.,humor
1148,"I told him ""Vijay, don't worry!""",non-humor
1149,"""As long as I'm there, no one will remove your hut!""",non-humor
1150,"""I will fight for you, I will go on a hunger strike for you.""",humor
1151,"""For you…""",humor
1152,"Well done, well done…",humor
1153,Was it not a good speech?,humor
1154,"Doll, Lovely Speech!",non-humor
1155,But what is the point of it?,non-humor
1156,It will have two advantages.,non-humor
1157,Which ones?,non-humor
1158,"One, I will lose weight for the film by doing so.",non-humor
1159,"And second, my weight in the society will increase,",humor
1160,"""My weight in the society will increase"". What is the use of it?",non-humor
1161,"Dil, think ahead.",humor
1162,"If tomorrow, my acting flops",non-humor
1163,I will fit into politics.,non-humor
1164,"Oh yes doll, I can see it.",humor
1165,Hail Prema Shalini!,humor
1166,As long as the sun and the moon remain Prema Shalini will be your name!,humor
1167,Vote for Koki ji!,humor
1168,Dil!,non-humor
1169,Vote for Prema Shalini,non-humor
1170,"Brothers and sisters, till today I used to think",non-humor
1171,That in the hearts of the people who live in the big flats and the bungalows,non-humor
1172,There was no space for the poor slum dwellers.,humor
1173,but today ..,non-humor
1174,"Today, famous actress Prema Shalini has by coming here today proved this to be false",non-humor
1175,Applause.,humor
1176,"That our Shanti Nagar, our slum remains intact, famous actress Prema Shalini is sitting on hunger strike from today",non-humor
1177,And Dilruba ji… applause,humor
1178,Now I will request famous Actress Prema Shalini,non-humor
1179,That she speaks a few words among you.,non-humor
1180,Applause applause.,non-humor
1181,Brothers and sisters…,non-humor
1182,Applause.,humor
1183,"Please calm down, please calm down.",humor
1184,"Calm down calm down, calm down.",humor
1185,Do not clap in the middle.,humor
1186,"By the way, I do not have the habit of giving speeches",non-humor
1187,Because I just speak written and learnt dialogues.,humor
1188,But today. I will go on a hunger strike for all of you,non-humor
1189,Applause,non-humor
1190,"Please calm down, please calm down.",humor
1191,I am not acting.,humor
1192,And I want to tell you all one thing,non-humor
1193,that until,humor
1194,Any leader,non-humor
1195,Does not reassure you all by coming here himself,non-humor
1196,That not a single hut of Shanti Nagar will not be removed,non-humor
1197,"Until then, my fast will not end.",humor
1198,Applause. Applause.,non-humor
1199,Applause.,non-humor
1200,"Prema ji, congratulations.",non-humor
1201,Thank you.,non-humor
1202,Prema ji should I bring something to eat for you?,humor
1203,Yes.,humor
1204,No… I I…,non-humor
1205,What are you talking? Keshu ji,non-humor
1206,"No no, som Bhel puri, Pani Puri, upma?",non-humor
1207,"Keshu ji, I am on hunger strike.",humor
1208,"Prema ji, these people with you ..",non-humor
1209,Want to take some photographs of you.,non-humor
1210,Come on. Come on. Come on.,humor
1211,Shoo photo.,non-humor
1212,"Hey bombaywalla, whose photo is it?",non-humor
1213,Prema Shalini's.,non-humor
1214,Show! Show!,humor
1215,Oh jesus!,non-humor
1216,What's new about it?,non-humor
1217,Prema Shalini's photo comes in the newspaper everyday.,non-humor
1218,Yes but this time there are photos of Kulkarni too.,humor
1219,What?,non-humor
1220,Yes.,non-humor
1221,Show. Show. Show.,non-humor
1222,Prema Shalini's indefinite hunger strike.,non-humor
1223,But why is she doing a hunger strike?,non-humor
1224,To save the slum of the poor.,non-humor
1225,Ayo! Does Kulkarni Anna live in the slum?,humor
1226,Not till now.,non-humor
1227,But will be living now.,humor
1228,Hmm…,non-humor
1229,Third class!,non-humor
1230,"You are a third class man, Kulkarni!",humor
1231,"I am a middle class man, sir.",humor
1232,Eh there is no class for you.,humor
1233,"You just said third class, no.",humor
1234,Shut up!,non-humor
1235,Ahh!,non-humor
1236,"What is this, kulkarni?",non-humor
1237,"It's a newspaper sir, we were taught this in childhood only.",humor
1238,Even I know that.,non-humor
1239,But my Prema ji is sitting on a hunger strike and you did not even tell me.,humor
1240,"Sorry, sir.",non-humor
1241,Keshu.,non-humor
1242,Sir?,non-humor
1243,"Today evening from my side, take sweet lime juice for Prema ji.",humor
1244,"I cannot take sweet lime juice, sir.",non-humor
1245,Why?,non-humor
1246,"Sir, sweet lime juice is given when",non-humor
1247,The hunger strike ends.,non-humor
1248,And that too a leader can give it.,non-humor
1249,"Not a third class man like me, sir.",humor
1250,Oh god!,non-humor
1251,Yes! So you take a bouquet of flowers from my side.,non-humor
1252,"I cannot take a bouquet of flowers too, sir,",non-humor
1253,Why?,non-humor
1254,The slum people have said not to give flowers.,non-humor
1255,Now what happened?,non-humor
1256,"Sir, last time an actress went on a hunger strime for the slum people",non-humor
1257,Somebody put a garland of flowers on her.,non-humor
1258,Out of hunger the poor actress at all the marigolds like a cow.,humor
1259,This means my Prema I will be hungry.,humor
1260,Yes.,non-humor
1261,My Prema ji will be hungry.,humor
1262,"Doll, what is this you are doing? What has happened to you?",non-humor
1263,"Dill, come to me.",non-humor
1264,Now at this time?,humor
1265,Shut up Dil.,non-humor
1266,I have to say something.,non-humor
1267,"Yes, say.",non-humor
1268,Get something to eat for me.,humor
1269,What!,non-humor
1270,What what?,non-humor
1271,GO and get something for me to eat.,non-humor
1272,"Doll, not even 24 hours have passed since your fast started.",humor
1273,Talk less and get me something to eat.,non-humor
1274,Doll what is this you're doing? Doll,non-humor
1275,You're on the hunger strike.,non-humor
1276,And a leader will come to break your fast.,humor
1277,Then your photograph will be printed in every single newspaper.,non-humor
1278,Yes.,humor
1279,All this has to be done to join Politics.,non-humor
1280,When I die of hunger then they will print the photo?,humor
1281,"What are you doing, Dil?",non-humor
1282,Paneer tikka.,humor
1283,I am sitting here hungry and thirsty,non-humor
1284,And you are eating paneer tikka.,non-humor
1285,Doll you are not sitting hungry and thirsty.,humor
1286,You are sitting on a hunger strike.,humor
1287,So you will not do it with me?,non-humor
1288,"No, do I have to be a thin heroine like you?",humor
1289,Dil… give me a litte bit please.,humor
1290,Uhu.,non-humor
1291,Dil…,non-humor
1292,Please.,non-humor
1293,Okay baba.  Giving.,non-humor
1294,Children…,non-humor
1295,"Or good… I mean, come here.",humor
1296,Hide it here hide it below. Don't show them.,non-humor
1297,"Giving you, giving you…",non-humor
1298,"Children, take this. Divide this amongst yourselves.",humor
1299,Oh!,non-humor
1300,"What did you do, Dil?",non-humor
1301,"I am sitting here hungry and thirsty, you gave those children…",non-humor
1302,"Children, don't eat. Don't eat, children...",humor
1303,"Doll, if I feed the poor kids",non-humor
1304,I will get prayers.,non-humor
1305,And if I will feed you,non-humor
1306,I will get hit by the public.,humor
1307,Wat!,humor
1308,"Doll, it seems my house is full, my stomach is full, my belly is filled.",humor
1309,I am feeling very sleepy.,non-humor
1310,"I'm going home, yeah?",humor
1311,"Doll, for tomorrow breakfast",non-humor
1312,"I'll eat french toast, cheese sandwich,",non-humor
1313,"Vada, Sambhar, Dosa, Medu Wada.",non-humor
1314,"I'll eat everything and come to you, yeah?",humor
1315,"Doll, good night.",humor
1316,Eh.,humor
1317,Hunger strike. Hail Prema Shalini!,humor
1318,Good night.,non-humor
1319,Good night.,non-humor
1320,Nice saree.,non-humor
1321,Yeah yeah.,non-humor
1322,Saree for disturbance.,humor
1323,Go and meet.,non-humor
1324,Divide amongst yourself the talks of sadness and happiness.,humor
1325,Let's go.,non-humor
1326,You have no problem?,non-humor
1327,"Me, why?",non-humor
1328,I'm also going to my house for a bit. Yeah.,humor
1329,Bye.,non-humor
1330,Keshu ji you.,non-humor
1331,"Hello, Prema ji.",non-humor
1332,"How are you, Prema ji?",humor
1333,I'm not good at all,non-humor
1334,Keshu ji. But thank you for asking.,non-humor
1335,Why?,non-humor
1336,Keshu ji,non-humor
1337,If I do not get food,non-humor
1338,So I will go crazy out of hunger.,non-humor
1339,"No, no no no, Prema ji, do not become crazy",non-humor
1340,"Otherwise, I will go mad.",humor
1341,Idea!,non-humor
1342,I'll do this I'll arrange some food for you.,non-humor
1343,Really?,non-humor
1344,Prema ji,non-humor
1345,Any special dish?,non-humor
1346,Whatever you wish.,non-humor
1347,Whatever I wish?,humor
1348,Then I will get you some fish.,humor
1349,"Keshu ji, come quick!",non-humor
1350,Keshu ji... if you did not get fish,non-humor
1351,Then get peanuts. Get anything.,non-humor
1352,But come quickly.,humor
1353,Don't you worry.,non-humor
1354,"Koti, roki….",humor
1355,What?,non-humor
1356,"Koti, roki…",humor
1357,Keshu …,non-humor
1358,"Hey, who is it?",non-humor
1359,"Hey whoever it is, roti.",humor
1360,"I'm getting it, no.",non-humor
1361,"What is ""roki"" ""koti""?",humor
1362,"Chintu son, is the food done?",non-humor
1363,Then why are you sitting here?,non-humor
1364,It is my house.,humor
1365,Go to your mother and tell her that father wants rotis. Go.,non-humor
1366,Mummy!,non-humor
1367,Go there and tell her. This is your house. Go.,humor
1368,Mummy…,non-humor
1369,Yes.,non-humor
1370,Papa needs more rotis.,non-humor
1371,What!,non-humor
1372,Keshu,non-humor
1373,What happened?,non-humor
1374,Easy Going.,humor
1375,Did you not eat in the afternoon?,non-humor
1376,"No I ate, I ate exactly.",non-humor
1377,"Then how, how do you feel hungry like this?",non-humor
1378,This is your 12th roti.,humor
1379,Koki,non-humor
1380,You are counting my rotis?,non-humor
1381,Oh no no… I meant to say that Keshu maybe you...,non-humor
1382,"Koki, your hand's food is so delicious…",non-humor
1383,That it done not fill me you know.,humor
1384,Oh wow!,non-humor
1385,This is the first time you praised my food!,non-humor
1386,"Koki, the thing is there is a monthly medical checkup at our office",non-humor
1387,Yes.,non-humor
1388,Doctor Diana had come. She is a big creative doctor.,non-humor
1389,"She said, ""Keshav Kulkarni, you are underweight"".",non-humor
1390,Increase your weight.,non-humor
1391,"Keshu, you do not look underweight from any angle.",humor
1392,"From the outside, you look fine to me.",non-humor
1393,"No, that Dr. Diana said that it's a matter from the inside.",humor
1394,I am underweight from the inside and from the outside…,humor
1395,What from the outside?,non-humor
1396,I'm hollow.,humor
1397,Hey there must have been a misunderstanding.Ask Dr. Diana,non-humor
1398,There no worms on anything in the stomach?,humor
1399,Koki!,non-humor
1400,You will help me increase my weight,non-humor
1401,Or you will keep talking? Go and quickly come with the rotis.,non-humor
1402,"Yes but if you eat so many rotis, your stomach will burst.",humor
1403,nothing will happen. I will go out to walk five rounds.,non-humor
1404,Everything will be digested.,non-humor
1405,You go and bring the rotis.,non-humor
1406,Otherwise I will become hollow.,humor
1407,oh man! no no…,non-humor
1408,Eat… I'm bringing them now.,non-humor
1409,"Eh, brother go.",non-humor
1410,Get the rotis. Go fast.,non-humor
1411,Papa has to increase his weight.,humor
1412,This mosquito no ..,non-humor
1413,"Sorry, Keshu ji. Sorry sorry sorry sorry …",non-humor
1414,"You sit, sit.",non-humor
1415,Brought something?,non-humor
1416,"Prema ji, sorry. I could not find fish.",non-humor
1417,But I have vegetables and rotis. Will it do?,non-humor
1418,What!,non-humor
1419,"Quietly, quietly…",non-humor
1420,"Everyone will wake up, Prema ji.",non-humor
1421,"Where is it, where is it?",non-humor
1422,in my pocket. You eat.,non-humor
1423,From your pocket?,non-humor
1424,You eat. I will guard.,humor
1425,"Come, come. Let's go.",humor
1426,"I'll arrange the talk, you don't worry.",non-humor
1427,"Prema ji, these are some journalists. They want to take your interview.",non-humor
1428,No… Prema ji is very hungry.,humor
1429,"Meaning, Prema ji is very tired. She has dire need for rest.",humor
1430,Madam Madam …,non-humor
1431,If you could answer some of our questions…,non-humor
1432,It would be greatly appreciated.,non-humor
1433,Ok.,non-humor
1434,"Madam will answer in ""yes"" or ""no"".",humor
1435,Would that work?,non-humor
1436,It'll work it'll work.,non-humor
1437,"Let's go, quickly, quickly.",non-humor
1438,"Madam, Do you really have sympathy with these slum dwellers?",non-humor
1439,Wonderful,non-humor
1440,If she had no sympathy why would she go on the fast?,non-humor
1441,You keep quiet. Let us talk to her.,humor
1442,"Madam, is there truly sympathy in your heart for this slum dwellers?",non-humor
1443,What was this? What does this mean?,non-humor
1444,"What do you mean, what does this mean?",non-humor
1445,Yes.,humor
1446,A hiccup means yes. Write that.,humor
1447,Good…,non-humor
1448,"Madam, my question to you is… ",non-humor
1449,Is there any political motive behind your fast?,non-humor
1450,Now what does that mean?,non-humor
1451,No no.,humor
1452,"Two hiccups mean ""no"". Write that, write that.",humor
1453,Okay…,non-humor
1454,"Madam my next question is, do you want to leave the film line",non-humor
1455,And join politics?,non-humor
1456,Yes.,humor
1457,"No, no.",humor
1458,"Yes… no… ""yes"" or ""no""?",non-humor
1459,"Write both ""yes"" and ""no"". Write fast, write fast.",humor
1460,"Good, my next question ..",non-humor
1461,Now what does that mean?,non-humor
1462,Yes. Oh this is so simple. Do you not understand?,humor
1463,"Go. Go. Go. Vijay, take them.",humor
1464,Do not you people understand what she is saying?,non-humor
1465,That god they've gone.,non-humor
1466,"Prema ji, your stomach is filled?",non-humor
1467,"My stomach is filled, Keshu ji.",non-humor
1468,"But out of fear, there was no taste of the food.",non-humor
1469,Why? Did you not like the food?,non-humor
1470,"Oh no no no, Keshu ji. The food must've been good.",non-humor
1471,"But the thing is, the Roomali Roti got stuck in my throat.",non-humor
1472,Yes. That often happens with Roomali Rotis. ,non-humor
1473,Roomali roti? I didn't even bring roomali rotis.,humor
1474,Oh!,humor
1475,What happened?,non-humor
1476,Prema ji that was not a Roomali roti.,non-humor
1477,So?,non-humor
1478,That was my handkerchief.,humor
1479,Aah!,non-humor
1480,"Gajodhar Bhaiya, count them well and keep them.",non-humor
1481,"Last time, a shirt of Chintu's father was missing.",non-humor
1482,"Bibi ji, you did not even give me a shirt.",humor
1483,Oh! Telling a lie!,non-humor
1484,"That day, you took your wife for a ride on your bicycle you were wearing the same shirt, weren't you?",non-humor
1485,"Sorry, bibi ji. Sorry.",non-humor
1486,Koki …,non-humor
1487,Koki Koki Koki …,non-humor
1488,Koki.,non-humor
1489,What happened?,non-humor
1490,"Koki Koki Koki, I think the slum dwellers will win.",non-humor
1491,oh man! Why?,non-humor
1492,"Oh today, Shalini's hunger strike continues",non-humor
1493,Fourth day too.,non-humor
1494,Oh wait for a couple days.,non-humor
1495,Lifeless from hunger Prema Shalini,humor
1496,Will come straight to the right way.,humor
1497,"I think, that Prema Shalini has adopted a crooked path.",non-humor
1498,Meaning?,non-humor
1499,Meaning that someone is feeding her secretly.,humor
1500,"Otherwise, tell me one thing. How are Prema Shalini's cheeks so red even on the fourth day?",non-humor
1501,She puts rose on every morning.,humor
1502,She puts rose on!,non-humor
1503,"That not rose, she's applying the slum dweller's lime.",humor
1504,What do you mean?,non-humor
1505,Bibi ji!,non-humor
1506,Look what is in sir's pocket!,non-humor
1507,Must be a handkerchief.,non-humor
1508,It's not a handkerchief.,non-humor
1509,It's rotis. Look.,non-humor
1510,What!,humor
1511,Roti?,non-humor
1512,Yes.,non-humor
1513,Keshu!,humor
1514,"Chintu, eat this well.",non-humor
1515,Eat.,non-humor
1516,"What happened, Keshu?",humor
1517,"No yesterday, you ate fourteen to fifteen rotis today, you're not eating anything.",humor
1518,Don't you want to increase your inside weight?,humor
1519,"No no… I want to increase it, I want to increase it.",humor
1520,"The thing is, Koki, when you keep standing in front ",non-humor
1521,So I can't eat properly.,non-humor
1522,Why?,non-humor
1523,"Like the ringmaster of the circus, when he stands in front of the lion, what can the poor lion do?",humor
1524,oh man! No problem.,non-humor
1525,I'll take Chintu and go inside.,humor
1526,So cooperative!,non-humor
1527,"Let's go, Chintu. Let's go inside. Let's go, let's go, son.",non-humor
1528,Pickle!,humor
1529,What!,humor
1530,Will you eat pickle?,non-humor
1531,Pickle.,non-humor
1532,I'll eat pickle with four hands.,humor
1533,oh man!,non-humor
1534,All rotis are finished!,non-humor
1535,"The thing is, Koki ",non-humor
1536,"When you are not in front me, my speed of eating rotis increases.",non-humor
1537,That's good that's good. Your name should go,humor
1538,In the Guinness world book of records.,humor
1539,Slowly slow….,non-humor
1540,I will take a walk and come.,non-humor
1541,Hahaha.,non-humor
1542,"What happened, your stomach got filled?",non-humor
1543,Strange.,non-humor
1544,I'll take a walk and come.,non-humor
1545,"Yes, but take your handkerchief before going.",non-humor
1546,What does the handkerchief have to do with walking?,non-humor
1547,"We have an advantage in it, don't we.",non-humor
1548,Advantage?,non-humor
1549,"On the second day, instead of handkerchiefs, rotis come out, no?",humor
1550,How can rotis come instead of handkerchiefs from a pocket?,non-humor
1551,How? Like this!,humor
1552,"Dil, it is very hot. Very hot!",non-humor
1553,"Doll, if you say so, should I arrange an outdoor AC?",humor
1554,Dil,non-humor
1555,Now I can't even tolerate the hunger.,non-humor
1556,"Doll, I can't tolerate hunger either.",humor
1557,"But in such cases, man should work with courage.",humor
1558,This way.,non-humor
1559,Stupid!,non-humor
1560,"For seven days, I have been doing the work with courage only.",non-humor
1561,Liar!,non-humor
1562,You hunger strike started only yesterday.,humor
1563,What do you mean?,non-humor
1564,Leave it! I know everyting.,non-humor
1565,"That Keshu ji, he was coming here everyday, daily, wasn't he",humor
1566,With pockets filled with food for you...,non-humor
1567,"His theft was also caught yesterday, Dil.",non-humor
1568,"But worry now, Doll.",non-humor
1569,Today will be the last day of fasting for your hunger strike.,humor
1570,How?,non-humor
1571,Do you know where all these people have gone?,non-humor
1572,Where?,non-humor
1573,To meet their leader,non-humor
1574,To talk to them.,non-humor
1575,The leader must be coming with juice.,non-humor
1576,To feed you!,non-humor
1577,Juice! How does it taste?,humor
1578,Sweet sweet…,humor
1579,Cold cold... When will it come?,humor
1580,Juice or leader?,humor
1581,Both!,non-humor
1582,"Vijay, did the juice come?",non-humor
1583,"I mean, did the leader come?",humor
1584,No madam. He hasn't come.,non-humor
1585,Why?,non-humor
1586,The thing is the minister went to Delhi in connection with the elections.,non-humor
1587,Oh no!,non-humor
1588,Prema ji now I feel that you will have to continue your hunger strike for two more days.,non-humor
1589,Oh no! ,humor
1590,Apply your feet! We're going now.,non-humor
1591,Vijay come!,humor
1592,Let us go.,non-humor
1593,Dil!,non-humor
1594,"Yes, Doll?",non-humor
1595,Now this hunger cannot be tolerated.,non-humor
1596,You're right.,non-humor
1597,Even I cannot stand your hunger anymore.,non-humor
1598,"But at this time, the thing is that man should work with courage.",humor
1599,This way.,non-humor
1600,"Kulkarni, why aren't you eating such great Paneer Bhurji?",non-humor
1601,"Wonderful Gokhale, there Prema ji is hungry",non-humor
1602,And I should eat paneer vegetable!,non-humor
1603,Think and think…,humor
1604,"No no, never!",humor
1605,Okay. Your choice.,non-humor
1606,"By the way, why is Prema ji not breaking her strike.",non-humor
1607,Because of that leader.,non-humor
1608,"That one, the leader who fulfillls the demands of the slum.",non-humor
1609,He's gone to Delhi.,non-humor
1610,"What does one do, Gokhale… What does one do",non-humor
1611,"Idea, Kulkarni… Idea",non-humor
1612,So quickly!,humor
1613,You go to Prema ji and tell her the leader is coming.,non-humor
1614,You'll become the leader?,non-humor
1615,"No, our boss!",humor
1616,That golgappa will become a leader?,non-humor
1617,For Prema ji he'll also become a peon.,non-humor
1618,Third class…,humor
1619,"Please please please, sir…",non-humor
1620,What nonsense!,non-humor
1621,Please sir please…,non-humor
1622,"Sir, it is a question of Prema ji's life and death.",non-humor
1623,"Sir, you wanted to feed Prema ji sweet lime juice.",non-humor
1624,Eh but do I look like a leader?,non-humor
1625,"Sir, you look just like a leader.",humor
1626,"Meaning Sir, you have all the merits which should be in a leader.",non-humor
1627,Merit number one… you always give assurance,non-humor
1628,But you never fulfil our demands sir.,humor
1629,Because your demands are always wrong.,non-humor
1630,Merit number two…,non-humor
1631,Your age has come but you still don't leave the chair.,humor
1632,Wat nonsense!,non-humor
1633,I am the Managing Director of this company.,non-humor
1634,Yes sir.,non-humor
1635,"And the company is not letting me go, yes.",humor
1636,Yes sir.,non-humor
1637,"Sir, merit number three…",non-humor
1638,From outside you are like a coconut,non-humor
1639,But like a papaya on the inside.,humor
1640,Meaning?,non-humor
1641,"Sir, meaning, your appear hard like a coconut from the outside",non-humor
1642,But you are soft from the inside.,non-humor
1643,Sweet like a papaya!,humor
1644,That I am!,non-humor
1645,Now you have talked of matter.,humor
1646,Talk about papaya!,non-humor
1647,Idiot!,non-humor
1648,Why are you standing and staring at my face?,non-humor
1649,Hurry up and get the leader's dress for me.,humor
1650,"Doll… Doll get up, doll.",non-humor
1651,Doll!,non-humor
1652,Calm down!,non-humor
1653,brothers and sisters!,humor
1654,"Doll, come to your senses. Doll",non-humor
1655,Leader ji has come.,non-humor
1656,Juice.,humor
1657,"Also brought juice, baba.",humor
1658,Prema ji.,humor
1659,Who are you?,humor
1660,"Me, Prema ji.",non-humor
1661,"Your most favorite, Keshav Kulkarni.",humor
1662,Where is the juice?,non-humor
1663,It's there. There's juice also.,non-humor
1664,"See there, which leader has come.",non-humor
1665,What is your name?,non-humor
1666,"Kulkarni, what Is the name?",non-humor
1667,Must be something sir.,non-humor
1668,Huh,humor
1669,My name is Badri Prasad.,non-humor
1670,Where is the J-Juice?,non-humor
1671,I have brought it. There's juice also.,non-humor
1672,Take this.,non-humor
1673,One minute. Who gives the juice?,non-humor
1674,"You, you…",non-humor
1675,Then let me give.,non-humor
1676,"Prema ji, drink this juice",humor
1677,And complete your obligation.,non-humor
1678,One minute one minute!,non-humor
1679,First tell me…,non-humor
1680,That the order you passed to destroy the slum,non-humor
1681,You have taken it back or not?,non-humor
1682,Taken it back taken it back..,non-humor
1683,Taken it back taken it back..,humor
1684,Wow! Wow brother wow!,non-humor
1685,Well then.,non-humor
1686,Prema Ji Prema ji Prema ji Prema ji… Congratulations,non-humor
1687,Your hunger strike became successful.,humor
1688,The decision to destroy our slum has been canceled.,non-humor
1689,I know. That is why I am also drining juice.,non-humor
1690,How did you find out?,humor
1691,Father.,non-humor
1692,who is this?,humor
1693,Leader Baba.,non-humor
1694,But the order is with me.,non-humor
1695,"Hey the thing is, I have only passed the order.",humor
1696,But as soon as I found out,non-humor
1697,That Prema ji is sitting on a hunger strike,non-humor
1698,"So I ran like anything, ran like anything here so that I reach before the order.",humor
1699,Ba Ba Ba Ba!,non-humor
1700,"Hey brother, your slum willl not be destroyed now.",non-humor
1701,Come dance ..,non-humor
1702,Dil!,humor
1703,"What happened, doll?",non-humor
1704,"Dil, this hunger strike has worked a miracle.",non-humor
1705,Oh what happened?,non-humor
1706,I have lost five kilograms.,humor
1707,Oh really!,non-humor
1708,"How nice! Don't worry, but now you'll lose five more kilos.",non-humor
1709,How?,non-humor
1710,Because you'll have to go on another hunger strike.,non-humor
1711,What! Why?,non-humor
1712,"Oh Doll, someone has made",non-humor
1713,Built a tiny little and dirty hut infront of our building.,non-humor
1714,What!,humor
1715,Yes!,humor
1716,If there is a dog near every superstar,non-humor
1717,"So I should have one too, right?",non-humor
1718,"But doll, what is the guarantee that",non-humor
1719,That by rearing a dog,non-humor
1720,You will become a superstar?,humor
1721,"Then, how will I become a superstar, Dil?",non-humor
1722,I'll tell you.,non-humor
1723,"Doll, you see.",non-humor
1724,By taking such photographs.,non-humor
1725,What kind of photo?,non-humor
1726,And this is Urvashi.,non-humor
1727,My film's side Heroine,non-humor
1728,"But by seeing these photos, it looks like you will very soon",non-humor
1729,Become her side heroine.,humor
1730,What nonsense!,non-humor
1731,"You are joking, right?",non-humor
1732,You know,non-humor
1733,She does not even get a chair to sit on at the shoot?,humor
1734,Hello.,non-humor
1735,"Doll, Toto.",non-humor
1736,"Hello. Good Morning, Toto.",non-humor
1737,What!,non-humor
1738,But Toto…,non-humor
1739,"You deleted that scene too, my scene?",non-humor
1740,"But Toto, there was a dance in it!",non-humor
1741,"Oh well, scene is still there, isn't it?",non-humor
1742,The bathing under the waterfall one?,humor
1743,What!,non-humor
1744,You removed that also?,humor
1745,"Toto, you will remove all my scenes",non-humor
1746,Then how will my character survive in the film,non-humor
1747,Wait wait wait... I will come and meet you. Ok?,non-humor
1748,"What happened, doll?",non-humor
1749,"Dil, you were right.",non-humor
1750,Now I will be left as Urvashi's side piece.,humor
1751,"Sir sir sir, shot is almost ready.",non-humor
1752,Today we will start with Urvashi's shot.,humor
1753,But Prema ji?,non-humor
1754,"Move, move move! Shoot Prema ji!",non-humor
1755,Shoot prema ji!,humor
1756,Make her stand somewhere far off,non-humor
1757,In the sunlight or something,non-humor
1758,And listen,non-humor
1759,The two-five dialogues she has left,non-humor
1760,Give them to some dupe.,humor
1761,Is that ok?,non-humor
1762,Prema will stand in the long shot.,non-humor
1763,"Long, meaning extra-long shot.",non-humor
1764,"Meaning, she will look like a dot.",non-humor
1765,I will pan from there.,non-humor
1766,This will cut to a close up of Urvashi ,humor
1767,Ahem. Prema Ji,non-humor
1768,I could not even see you in the tight close up.,non-humor
1769,But I saw everything,non-humor
1770,And heard everything too.,non-humor
1771,You came quickly.,non-humor
1772,"I had to come, didn't I, Toto.",non-humor
1773,Nowadays you are cutting all my scenes.,non-humor
1774,All the good scenes ..,non-humor
1775,I am very angry with you.,non-humor
1776,"Oh, no… how could I do this to you?",non-humor
1777,You are a star.,humor
1778,Yes a long shot star.,humor
1779,"Actually, I was explaining the shot to Gogo.",non-humor
1780,"That you, you are… not you.",non-humor
1781,Urvashi is in the long shot,non-humor
1782,You are in the tight close.,humor
1783,"Leave it, no.",non-humor
1784,"Drink something cold, your anger will get quenched.",non-humor
1785,"Hey, go get something cold for madam.",non-humor
1786,"Go, go.",non-humor
1787,"Leave it leave it, Toto.",non-humor
1788,"I know, you are waiting for Urvashi, not for me.",non-humor
1789,We want to take your interview.,non-humor
1790,"Oh, please.",non-humor
1791,I give random journalists random interviews,humor
1792,I give them,humor
1793,I give very good interviews.,non-humor
1794,"In fact, I am a very cooperative actress.",non-humor
1795,That you must know.,non-humor
1796,"Right? Then ask, ask.",non-humor
1797,What do you want to ask.,non-humor
1798,So I want to ask you that...,non-humor
1799,Hello Prema ji,non-humor
1800,"Excuse me, I am a little busy.",non-humor
1801,I interview… I talk to you later.,non-humor
1802,You go ahead ask me.,humor
1803,Prema ji.,non-humor
1804,What were you asking?,non-humor
1805,Prema ji. Prema ji.,humor
1806,"Come, come.",non-humor
1807,"Prema ji. Prema ji. Prema ji. Prema ji… it is me, Keshav",non-humor
1808,I have come to see your shoot.,non-humor
1809,"I know, I know.",non-humor
1810,Keshu ji I am a little busy. Let's talk later.,non-humor
1811,"Yes, ask.",non-humor
1812,"Well, who is your hero in this film?",non-humor
1813,Prem Kumar.,non-humor
1814,He's sitting inside eating Pav Bhaji.,humor
1815,What is your role in this movie?,non-humor
1816,That of a hood queen.,humor
1817,"You now, in this film",non-humor
1818,Prema ji is doing 25 murders.,non-humor
1819,Twenty-five murders!,non-humor
1820,Oh!,non-humor
1821,And what is your name?,non-humor
1822,My name is Keshav Dhondoba Kulkarni.,non-humor
1823,My wife's name is Kokila Keshav Kulkarni.,non-humor
1824,I have a little son. His name is Chintu.,humor
1825,"Keshav ji, what do you do?",non-humor
1826,My work is seeing Prema ji's shooting.,humor
1827,Shooting!,non-humor
1828,"No, I mean, I also work in the office.",non-humor
1829,Oh okay.,non-humor
1830,"So, how many years have you and Prema ji been friends?",non-humor
1831,Oh my and Prema ji's friendship could be very old.,humor
1832,"But it is new, new.",non-humor
1833,She has recently come to live in our neighborhood.,non-humor
1834,"So, we are neighbours.",non-humor
1835,Good good.,non-humor
1836,"So one as a neighbour and one as a friend, how do you find Prema ji?",humor
1837,"Oh brother, this is Prema ji. Superstar Prema Shalini.",non-humor
1838,She appears good to me in every form.,humor
1839,Excuse me. Excuse me. Excuse me.,non-humor
1840,Whose interview is this?,humor
1841,No.,non-humor
1842,"We'll take an interview of you, only.",non-humor
1843,Exactly! Then ask me questions.,non-humor
1844,"Come on, ask me. Ask.",humor
1845,"Yes, yes.",non-humor
1846,"Hey, Gogo!",non-humor
1847,Yes sir.,non-humor
1848,"Gog, Urvashi has not come yet?",non-humor
1849,Sir. Sir... Look at that. She has come.,non-humor
1850,"Hey, Urvashi!",humor
1851,Urvashi! Urvashi!,non-humor
