,index,Utterance,Label,translated
952,80,कैसे हो केशू पा जी,humor,How are you
953,81,ठीक हूं जी। आप कैसी हैं,non-humor,I'm fineHow are you
954,82,मैं भी अच्छी हूँ।,non-humor,I'm too good.
955,83,अब नहीं रहोगी।,humor,Now you will not be
956,84,क्या,non-humor,What
957,85,कोकी,non-humor,Koki
958,86,कोकी कोकी ,non-humor,Koki Koki
959,87,पिंकी आगे से मुझे कोई नसिहत मत देना।,humor,Do not give me a nature from Pinky ahead.
960,88,लेकिन हुआ क्या,non-humor,But what happened
961,89,तूने ही कहा था ना,non-humor,You said only
962,90,अगर पति का प्यार देखना हो,humor,If you see husband's love
963,91,तो एक बार मर कर देखो कोकी,humor,So die once
964,92,हाँ। तो ,non-humor,Yes.So
965,93,तो,non-humor,So
966,94,तूने मुझे मरना दिया पिंकी।,non-humor,You die to Pinky.
967,95,लेकिन हो क्या गया,non-humor,But what happened
968,96,पिंकी,non-humor,Pinki
969,97,आज मैं अपने पति का प्यार,humor,Today I love my husband
970,98,तीन तीन बार देखुंगी।,humor,I will see three times.
971,99,हैं,non-humor,Huh
972,100,हाँ,non-humor,Yes
973,102,प्यारी पुष्पा ।।,non-humor,Lovely Pushpa ..
974,103,प्यारे केशव ।।,humor,Dear Keshav ..
975,104,प्यारी पुश ।।,non-humor,Push ..
976,105,प्यारे केशू ।।,non-humor,Dear Cashs ..
977,106,प्यारी पु ।,humor,Lovely PU
978,107,प्यारे के ।।,humor,Dear ..
979,108,आई लव यू पु।,non-humor,I love you
980,109,आई लव यू टू के।,humor,I love you to
981,110,देखा केशू को देखा तुमने।,non-humor,Saw Keshu saw you
982,111,कोकी  मुझे कुछ दिख नहीं रहा है।,humor,Koki has not seen anything.
983,112,अरे ढ़क्कन ये,non-humor,Hey
984,113,ओह ,non-humor,Oh
985,114,पु डार्लिंग क्लोज योर आइज़। आई हैव अ सरप्राइज।,non-humor,PU Darling Close Your IceI have a surprise.
986,115,ओके।,non-humor,Ok.
987,116,देखो पु डार्लिंग मैं तुम्हारे लिए क्या लाया हूं।,non-humor,Watch Pu Darling What I brought for you.
988,117,अंगूठी,humor,ring
989,118,नो नो नो नो  ये अंगूठी नहीं है।,humor,No no no no this ring.
990,119,ये इन्गेजमेंट रिंग है।,humor,This is the inflex ring.
991,120,ओ तुम्हारी उंगली कितनी मस्त है।,non-humor,O your finger is so cool.
992,121,केशू ये तो बहुत ढीली है।,non-humor,Keshu is very loose.
993,122,ढ़ीली तो होगी डार्लिंग।,humor,Darling will be darling
994,123,कोकी की जो है।,humor,Which is Koki.
995,124,ओह ,humor,Oh
996,125,देखा,non-humor,saw
997,126,पिंकी गई मेरी इन्गेजमेंट रिंग गई।,humor,Pinky was my indication ring.
998,127,ओह सॉरी। सॉरी पु।,humor,Oh sorrySorry Pu
999,128,कोकी मुझे लगता है ना  केशू पा जी ना तेरे गम में पागल हो गए हैं।,humor,"Koki I think, Keshu Pa ji has not been mad in your gum."
1000,129,ये केशू पागल नहीं हो गए हैं।,non-humor,These Keshu have not become mad.
1001,130,मैं पागल हो गयी हूँ।,humor,I've got mad
1002,131,चलो चलो घर चलते हैं।,non-humor,Let's go home.
1003,132,घर नहीं।,non-humor,not home.
1004,133,अब हम जाएंगे होटल मैज मस्ती,non-humor,Now we will go to Hotel Mag
1005,134,मेरे पति की दूसरी गर्लफ्रेंड को देखने।,humor,See my husband's second girlfriends.
1006,136,चंचल डार्लिंग ,non-humor,Playful darling
1007,137,डार्लिंग केशव ।।,humor,Darling Keshav ..
1008,138,चंचल डार्लिंग आई लव योर लट।,humor,Playful Darling I Love Your Launch
1009,139,हट केशू।,non-humor,Hut Keshu
1010,140,चंचल डार्लिंग  क्लोज योर आइज़।,humor,Playful Darling Close Your Ice
1011,141,आई हैव सरप्राइज।,non-humor,I have surprises.
1012,142,ओके।,non-humor,Ok.
1013,143,बताओ मैं तुम्हारे लिए क्या लाया हूं,non-humor,Tell me what I have brought for you
1014,144,क्या लाए हो बताओ ना केशू,non-humor,Tell me no Keshu
1015,145,तुम्हारे नाजुक नाजुक हांथों के लिए सोने के कंगन,humor,Gold bracelet for your delicate delicate hand
1016,146,सॉरी। वेरी सॉरी।,humor,Sorry.Very sorry
1017,147,आई वाज सो एक्साइटेड,humor,EXTEDED ISHAGE
1018,148,ओह सो सिलि ऑफ मी,non-humor,Oh So Sili of I
1019,149,मुझे लगा तुम्हें कंगन पसंद नहीं आए।,non-humor,I thought you did not like bracelet.
1020,150,नो आई जस्ट लव इट।,humor,No I Just Love It
1021,151,इज़ इट,non-humor,Is it
1022,152,ये मेरी माँ की और मेरे होने वाले बच्चे की माँ की आखरी निशानी है,humor,This is my mother and my last sign of mother's mother
1023,153,क्या,non-humor,What
1024,154,मतलब इसके लिए मुझे तुम्हारे बच्चे की माँ बनना होगा ,humor,Meaning me to be your child's mother
1025,155,चिंटू भी तुम्हारा ही बच्चा है ना।,non-humor,Chintu is also your child.
1026,156,क्या,non-humor,What
1027,157,मतलब हो जाएगा हो जाएगा डार्लिंग।,non-humor,It will be mean Darling.
1028,158,नहीं बाबा नहीं मुझे इन सब झंझट में बिलकुल नहीं पड़ना,humor,No Baba
1029,159,वैसे भी बहुत सारे एलिजीबल बैचलर्स पड़े हुए हैं।,non-humor,"Anyway, many alligible bachelors have been lying."
1030,160,बाय मैं जा रही हूँ,non-humor,I'm going
1031,161,सुनो  सुनो सुनो सुनो,non-humor,Listen listen listen
1032,162,चिंटू को हम दूर भेज देंगे,non-humor,We will send Chintu away
1033,163,बहुत दूर,humor,Very far
1034,164,बहुत दूर भेज देंगे बोर्डिंग स्कूल में,non-humor,Will send too far in boarding school
1035,165,हाँ,non-humor,Yes
1036,166,अब तुम खुश,non-humor,Now you happy
1037,167,ओके।,non-humor,Ok.
1038,168,लाओ तुम्हारे नाजुक नाजुक हांथों में,humor,Bring your delicate delicate
1039,169,मैं अपने हांथों से ये कंगन पहनाता  हूं।,humor,I wear these bracelets from my arms.
1040,170,ओ कितने नाजुक है।,non-humor,O how delicate is.
1041,171,आउच,non-humor,Auch
1042,172,आई एम सो सॉरी।,non-humor,I'm so sorry
1043,173,दुसरा नाजुक हांथ।,non-humor,Another delicate palm.
1044,174,सॉरी। सॉरी डार्लिंग।,humor,Sorry.Sorry Darling
1045,175,सेल्फी,non-humor,Selfie
1046,176,या।,non-humor,or.
1047,177,अरे ए गए मेरे कंगन पिंकी गए।,humor,"Hey, my bracelet went to Pinky."
1048,178,तुम्हारी तीर्थ यात्रा मुझे बहुत महंगी पड़ गई।,humor,Your pilgrimage was very expensive.
1049,179,दोनो कंगन दोनो कंगन।,non-humor,Both Bracelet Both Bracelet
1050,180,9 बज गए बाय,humor,9 o'clock
1051,181,केशू केशू,non-humor,Keshu hairy
1052,182,तीसरी लड़की कहाँ आएगी,non-humor,Where will the third girl come
1053,183,मेरे घर।,humor,my home.
1054,185,आओ अन्दर आओ,humor,Come inside
1055,186,लेट मी शो यू माई बेड रूम।,non-humor,Late m show you my bed room
1056,187,बैठो। सो हाउ यू फीलिंग ,humor,have a sit.So hau u feeling
1057,188,आपका घर तो बहुत अच्छा है।,non-humor,Your home is very good.
1058,189,और स्पेशलि आपका बेडरूम,humor,And Specialty Your Bedroom
1059,190,है ना,non-humor,Is not it
1060,191,कल से ये बहुत अच्छा घर ये स्पेशल बेडरूम सब तुम्हारा हो जाएगा।,humor,"From tomorrow, this very good home will be all your bedroom."
1061,192,वो कैसे,non-humor,How
1062,193,मैं तुमसे शादी जो करूंगा मेरी जान।,humor,"I will marry you, my life"
1063,194,ये देखो।,non-humor,See this.
1064,195,मंगल सूत्र,non-humor,Mangal formula
1065,196,कोकी का है।,humor,Koki's
1066,197,कल से ये मंगल सूत्र बहुत अच्छा घर स्पेशल बेडरुम और मैं सब तुम्हारा है।,humor,"From tomorrow, this Mangal formula is very good home special bedroom and I'm all yours."
1067,198,कल से क्यों,humor,Why tomorrow
1068,199,आज ही मैं मेरे हांथों से तुम्हें यह मंगलसूत्र पहना देता हूं।,humor,Today I wear this Mangalasutra from my arms.
1069,200,केशू,non-humor,Keshu
1070,201,कोकी की बच्ची अब तीर्थ य़ात्रा पर जाओगी,humor,Koki's baby will now go to Tirtha Yatra
1071,202,कभी नहीँ सॉरी केशू,humor,Never Sorry Keshu
1072,203,सॉरी,humor,Sorry
1073,204,केशू,humor,Keshu
1074,205,मेरी कोकड़ी,humor,My cock
1075,206,मेरे चकूलि,humor,My chakuli
1076,208,एयर इज़ अ मिक्सचर ऑफ गैसेज़।,non-humor,Air is a Mixer of Gassage
1077,209,एयर इज़ अ मिक्सचर ऑफ गैसेज़।,non-humor,Air is a Mixer of Gassage
1078,210,CO2 इज़ इक्वल टू कार्बन डाइऑक्साइड।,non-humor,CO2 is equal to carbon dioxide.
1079,211,चिंटू बेटा,humor,Chintu son
1080,212,बोलो पापा,humor,Speak papa
1081,213,पापा से ठीक से बात नहीं कर सकते,non-humor,Can not talk to papa properly
1082,214,बेटे से ठीक से बात नहीं कर सकते,humor,Can not talk to son properly
1083,215,चिंटू बेटा।,humor,Chintoo son
1084,216,बोलो पापा।,humor,Speak Papa
1085,217,मम्मी कहाँ हैं,non-humor,Where are mom
1086,218,मम्मी वो तो पुलिस स्टेशन गई हैं।,non-humor,Mummy he has gone to the police station.
1087,219,पुलिस स्टेशन किसके साथ,non-humor,With whom the police station
1088,220,बड़ बड़ आंटी के साथ।,humor,With bigger aunt
1089,221,पिंकी जरुर मेरी कम्प्लेंट करने गई होगी।,non-humor,Pinky must have gone to compile.
1090,222,अकु बाई केशू तुम आ गए ये लो मिठाई खाओ।,non-humor,Aku Bai Keshu You came to eat these sweet sweets.
1091,223,कब आ रही है पुलिस मुझे गिरफ्तार करने,humor,When is the police arrest me
1092,224,हैं,non-humor,Huh
1093,225,ये मत भूलो मेरे पास भी ढ़ेर सारे सबूत हैं समझी ना।,non-humor,Do not forget that I do not understand all the evidence.
1094,226,तुम बोल रहे हो पुलिस क्यों करेगी तुम्हें गिरफ्तार ,non-humor,You are speaking to the police why you arrested
1095,227,क्यों वो पिंकी के साथ तुम जो पुलिस स्टेशन गई थी।,non-humor,Why he went to the police station with Pinky.
1096,228,वो तुम्हारी कम्प्लेंट लेकर  नहीं गई थी,non-humor,He did not take your computation
1097,229,और वैसे भी पुलिस तुम्हारा कुछ नहीं कर सकती।,humor,And anyway the police can do anything to you.
1098,230,ठीक है ठीक है फिर तुम पुलिस स्टेशन क्यों गई थी मेरी सोनू,non-humor,Okay right then why did you go to the police station my Sonu
1099,231,अरे वो नुक्कड़ के शीन्ति नगर के झोपड़ पट्टी है ना,non-humor,He is a hut bar of Shanti Nagar of Nook
1100,232,हाँ।,non-humor,Yes.
1101,233,हम सारी औरते वहां गईं थी,humor,We had all other things
1102,234,बस उसी को हटाने की मांग लेकर।,non-humor,Just with the demand for removal.
1103,235,रहने दो रहने दो पुलिस स्टेशन हट जाएगा झोपड पट्टी नहीं हटेगी।,humor,Let's stay two police stations will not remove the hut bar.
1104,236,अरे इंस्पेक्टर ने हमें आश्वासन दिया है।,non-humor,Hey Inspector has assured us.
1105,237,बरोबर है,non-humor,Is barbor
1106,238,आश्वासन देने के लिए ही होता है पूरा करने के लिए नहीं।,humor,Not only to be assured to complete.
1107,239,अरे ओ केशव धोंडोबा कुलकर्णी,humor,Hey O Keshav Dhondida Kulkarni
1108,240,तुम औरतों की ताकत नहीं जानते,humor,You do not know the power of women
1109,241,देखना कल शाम तक झोपड़ पट्टी हटेगी मतलब हटेगी,humor,See tomorrow evening will remove the hoot bar
1110,242,नहीं हटेगी नहीं हटेगी,non-humor,Will not go away
1111,243,झोपड़ पट्टी नहीं हटेगी नहीं हटेगी,humor,The hut bar will not go away
1112,244,क्या अरे ये क्या बोल रही हो,non-humor,What are you saying
1113,245,मैंने अभी तक मिठाई का डिब्बा खोला भी नहीं पिंकी,humor,I have not even opened the sweets box
1114,246,हां खोलो भी मत और मिठाई का डिब्बा वापस कर दो।,humor,Open yes and do not even return the sweets box.
1115,247,क्यों,non-humor,Why
1116,248,झोपड़ पट्टी कहीं नहीं जाने वाली,non-humor,Hut bar
1117,249,अरे लेकिन क्यों,non-humor,Hey but why
1118,250,मुझे अभी अभी खबर मिली है,non-humor,I just got the news
1119,251,कि शांति नगर झोपड़ पट्टी बचाने के लिए कोई भूख हड़ताल पर बैठने वाला है,non-humor,That peace is going to sit on a hunger strike to save the hut strip
1120,252,कौन,non-humor,Who
1121,253,कौन,non-humor,Who
1122,254,वही तुम्हारी पड़ोसन छम्मकछल्लो प्रेमा शालिनी,humor,That's your neighbor Chhamal
1123,255,क्या,humor,What
1124,256,वह अकेली क्या कर सकती है,humor,What can he do
1125,257,हे कोकिला केशव कुलकर्णी,humor,This Kokila Keshav Kulkarni
1126,258,तुम हीरोइन की ताकत को जानती नहीं हो,humor,You do not know the power of heroine
1127,260,वॉट केशू जी ये आप क्या कह रहे हैं,non-humor,Wat Keshu ji what are you saying
1128,261,अच्छा हुआ कि आपने मुझे बता दिया।,non-humor,It was good that you told me.
1129,262,थैंक्यू।,humor,Thanks
1130,263,डॉल डॉल,non-humor,Doll doll
1131,264,यश।,non-humor,Success.
1132,265,डॉल ये मैं क्या सुन रहा हूं डॉल,non-humor,Doll this is what I'm hearing
1133,266,क्या सुन रहे हो,non-humor,What are you listening
1134,267,कि तुम भूख हड़ताल करने वाली हो,non-humor,That you are going to hunger
1135,268,ओ यश,non-humor,Oh man
1136,269,कल से तुम सिर्फ अपने लिए खाना बनाना,humor,From tomorrow you just cook for yourself
1137,270,मेरे लिए नहीं।,humor,Not for me.
1138,271,अरे डॉल लेकिन मामला क्या है,non-humor,Hey doll but what's the matter
1139,272,मामला ये है कि मुझे एक फिल्म मिली है जिसमें मुझे रोल करना है,non-humor,The matter is that I got a movie in which I have to roll
1140,273,गरीब औरत का।,non-humor,Poor woman
1141,274,अरे तो फटे हुए कपड़े पहन लेती ना।,humor,"Hey, do not wear torn clothes."
1142,275,दिल मेरे डायरेक्टर ने बोला फटे हुए कपड़े में मैं और भी सुंदर लगती हूं।,humor,"My director said, I feel more beautiful in the clothes."
1143,276,ओ डॉल आई एम सो कनफ्यज्ड,non-humor,O Doll I'm So Confident
1144,277,केशू जी कह रहे थे कि तुम झोपड़ पट्टी के लिए  भूख हड़ताल पर जा रही हो।,non-humor,Keshu was saying that you are going on hunger strike for hut bar.
1145,278,ओ झोपड़ पट्टी।,non-humor,O hut strip.
1146,279,या या वहां ना मेरा स्पॉट बॉय रहता है। विजय,non-humor,Or or not there my spot boy.victory
1147,280,कल वो मेरे पास आया और बोला मैडम मेरा कोई झोपड़ा गिरा रहा है।,humor,He came to me yesterday and said Madam is dropping my hut.
1148,281,मैंने उससे कहा विजय चिंता मत करो,non-humor,I told him not to worry
1149,282,जब तक मैं हूँ तुम्हारा झोपड़ा कोई नहीं गिरा सकता,non-humor,"As long as I am your hut, no one can fall"
1150,283,तुम्हारे लिए लड़ूगी तुम्हारे लिए भूख हड़ताल करुगी।,humor,Will fight for you will strike hunger.
1151,284,तुम्हारे लिए मैं ,humor,For you
1152,285,शाबाश शाबाश ,humor,Shabash
1153,286,अच्छी स्पीच थी ना,humor,It was good speech
1154,287,डॉल लवली स्पीच,non-humor,Doll Lovely Speech
1155,288,लेकिन इसका क्या फायदा है,non-humor,But what is the advantage
1156,289,इसके दो फायदे होंगे।,non-humor,It will have two advantages.
1157,290,कौन कौन से,non-humor,Who
1158,291,एक तो ऐसा करने से फिल्म के लिए मेरा वजन कम हो जाएगा।,non-humor,One will lose weight for the film by doing so.
1159,292,और दूसरा समाज में मेरा वजन बढ़ जाएगा।,humor,And in the second society my weight will increase.
1160,293,समाज में मेरा वजन बढ़ जाएगा। क्या फायदा,non-humor,My weight will increase in society.What is the use
1161,294,दिल दूर की सोचो।,humor,Think of the heart away.
1162,295,कल को अगर मेरी ऐक्टिंग फ्लॉप हो गई तो,non-humor,If my acting flopped tomorrow
1163,296,मैं पॉलिटिक्स में फिट हो जाउंगी।,non-humor,I will be fit in politics.
1164,297,ओ या डॉल आई कैन सी इट।,humor,O or Doll I Can C
1165,298,प्रेमा शालिनी जिंदाबाद,humor,Prema Shalini Zindabad
1166,299,जब तक सूरज चाँद रहेगा प्रेमा शालिनी तेरा नाम रहेगा,humor,"As long as the sun will remain the moon, Prema Shalini will remain your name"
1167,300,वोट फॉर कोकी जी,humor,Vote for Koki ji
1168,301,दिल,non-humor,Heart
1169,302,वोट फॉर प्रेमा शालिनी,non-humor,Shalini in the voted forms
1170,304,भाइयों बहनों मुझे आज तक लगता था,non-humor,Brothers seemed to me till today
1171,305,कि बड़े बड़े फ्लैटो में और बंगलों में रहने वाले लोगों के दिलों में,non-humor,That in the big flato and the hearts of the people living in the bungalows
1172,306,हम गरीब झोपड़ पट्टी वालों के लिए कोई जगह नहीं होती,humor,We do not have any place for poor hut strip
1173,307,लेकिन आज ।।,non-humor,but today ..
1174,308,आज मसहूर अभिनेत्री प्रेमा शालिनी जी ने यहां आकर इस बात को झूट साबित कर दिया है,non-humor,Today Mashur actress Prema Shalini has come here and proved this thing
1175,309,तालियां।,humor,Applause
1176,310,हमारा शांति नगर  हमारी ये झोपड़ पट्टी बरकरार रहे इसके लिए मशहूर अदाकारा प्रेमा शालिनी आज से भूख हड़ताल पर बैठ रही है,non-humor,"Our Shanti Nagar, our hut strip remains intact, famous actress Prema Shalini is sitting on hunger strike from today"
1177,311,और दिलरुबा जी तालियां,humor,And Dilruba ji applause
1178,312,अब मैं मसहूर अभिनेत्री प्रेमा शालिनी जी अनुरोध करुंगा,non-humor,Now I will request Mashur Actress Prema Shalini
1179,313,कि वो आप लोगों के बीच दो शब्द बोलें।,non-humor,That he speaks two words among you.
1180,314,तालियां तालियां।,non-humor,Applause applause
1181,315,भइओ और बहेनो ,non-humor,Brothers and sisters
1182,316,तालियां।,humor,Applause
1183,317,शांत हो जाइए शांत हो जाइए।,humor,Get calm down.
1184,318,शांत हो जाओ शांत हो जाओ शांत हो जाओ।,humor,Get calm calm calm down.
1185,319,बीच में मत बजाओ ताली।,humor,Do not play in the middle.
1186,320,वैसे तो मुझे भाषण देने की आदत नहीं है,non-humor,"By the way, I do not have a habit of giving a speech"
1187,321,क्योकि मैं सिर्फ लिखे हुए और रटे हुए डायलॉग्स ही बोलती हूं।,humor,Because I just wrote and written dialogues.
1188,322,लेकिन आज मैं आप सब के लिए भूख हड़ताल करुगी,non-humor,But today I will strikes hunger for all of you
1189,323,तालियां।,non-humor,Applause
1190,324,शांत हो जाइएं। शांत हो जाइएं।,humor,cooled down.cooled down.
1191,325,मैं ऐक्टिंग नहीं कर रही हूं।,humor,I am not acting.
1192,326,और एक बात मैं आप सबको कहना चाहती हूं,non-humor,And one thing I want to tell you everyone
1193,327,कि जब तक,humor,that while
1194,328,कोई भी नेता,non-humor,Any leader
1195,329,खुद यहाँ आकर आप सब को आश्वासन नहीं देता,non-humor,Do not assure you all by coming here
1196,330,कि शाति नगर का एक भी झोपड़ा नहीं गिराया जाएगा,non-humor,That a single hut will not be dropped
1197,331,तब तक मेरा अनशन समाप्त नहीं होगा।,humor,By then my fast will not end.
1198,332,तालियां। तालियां।,non-humor,ApplauseApplause
1199,333,तालियां।,non-humor,Applause
1200,334,प्रेमा जी बधाई हो।,non-humor,Prema ji congratulates
1201,335,धन्यवाद।,non-humor,Thank you.
1202,336,प्रेमा जी आपके लिए कुछ खाने के लिए लाऊ,humor,Prema ji to eat something for you
1203,337,हां।,humor,Yes.
1204,338,ना  मैं मैं ।।,non-humor,No i
1205,339,आप कैसी बात कर रहे हैं केशू जी,non-humor,How are you talking about Keshu
1206,340,नहीं नहीं कुछ भेल पूरी पानी पूरी उपमा,non-humor,No BHEL full water full
1207,341,केशू जी मैं भूख हड़ताल पर हूँ।,humor,Keshu ji I am on hunger strike.
1208,342,प्रेमा जी ये लोग आपके साथ ।।,non-humor,"Prema ji, these people with you .."
1209,343,आपके कुछ फोटोग्राफ्स लेना चाहते हैं,non-humor,Want to take some photographs
1210,344,आइये। आइये। आइये।,humor,Come on.Come on.Come on.
1211,346,शू फोटो।,non-humor,Shu photo
1212,347,ऐ बॉम्बेवाला किसकी फोटो है,non-humor,Whose photo is a bombwala
1213,348,प्रेमा शालिनी की।,non-humor,Prema Shalini
1214,349,दिखाओ दिखाओ,humor,show Show
1215,350,ओ जीज़ज़,non-humor,O jijz
1216,351,उसमें कौन सी नई बात है,non-humor,What is the new thing in it
1217,352,प्रेमा शालिनी की रोज अखबार में फोटो आती है।,non-humor,Prema Shalini's photo comes in the daily newspaper.
1218,353,अरे पर इस बार कुलकर्णी की फोटो भी हैं।,humor,Hey there are photos of Kulkarni this time.
1219,354,वॉट,non-humor,Watch
1220,355,हाँ।,non-humor,Yes.
1221,356,दिखा। दिखा। दिखा।,non-humor,Show.Show.Show.
1222,357,प्रेमा शालिनी की  अनिश्चितकाल के लिए  भूख हड़ताल,non-humor,Hunger strike for the indefinite of Prema Shalini
1223,358,लेकिन काहे कर रही है प्रेमा शालिनी भूख हड़ताल,non-humor,But what's going to be Prema Shalini Hunger Strike
1224,359,गरीबों की झोपड़ पट्टी बचाने के लिए।,non-humor,To save the hut strip of the poor.
1225,360,अइयो कुलकर्णी अन्ना क्या झोपड़ पट्टी में रहता,humor,Ayo Kulkarni Anna lives in a hut bar
1226,361,अभी तक तो नहीं।,non-humor,not till now.
1227,362,लेकिन अब रहने लगेगा।,humor,But now you will be living.
1228,363,हममममम,non-humor,Hummamam
1229,365,थर्ड क्लास,non-humor,Third class
1230,366,थर्ड क्लास आदमी हो तुम कुलकर्णी,humor,Third Class Man Ho You Kulkarni
1231,367,मैं मीडिल क्लास आदमी हूं सर।,humor,I am a Midyl Class man.
1232,368,अरे तुम्हारा तो कोई क्लास ही नहीं है।,humor,Hey you do not have any class.
1233,369,अभी आपने कहा ना थर्ड क्लास।,humor,You said yet no third class.
1234,370,शट अप,non-humor,shut up
1235,371,आह,non-humor,Ahh
1236,372,ये क्या है कुलकर्णी,non-humor,What is this kulkarni
1237,373,अखबार है सर बचपन में ही सिखाया हमें।,humor,The newspaper has taught us only in childhood.
1238,374,ये तो मुझे भी पता है,non-humor,I know this
1239,375,अरे पर मेरी प्रेमा जी भूख हड़ताल पर बैठी हैं तुमने मुझे बताया तक नहीं।,humor,"Hey, my love is sitting on the hunger strike, you did not tell me."
1240,376,सॉरी सर।,non-humor,Sorry sir.
1241,377,केशू।,non-humor,Keshu
1242,378,सर,non-humor,Sir
1243,379,आज शाम को मेरी तरफ से प्रेमा जी के लिए तुम मैसमी का जूस ले जाना।,humor,"In today's evening, you took a messenger juice for Prema ji."
1244,380,मौसमी का जूस लेकर नहीं जा सकते सर।,non-humor,Seasonal juice can not go.
1245,381,क्यों,non-humor,Why
1246,382,सर मौसमी का जूस तो तब दिया जाता है जब,non-humor,Sir seasonal juice is given when
1247,383,भूख हड़ताल समाप्त होती है।,non-humor,The hunger strike ends.
1248,384,और वो भी कोई लीडर ही दे सकता है।,non-humor,And he can also give a leader.
1249,385,मेरे जैसा थर्ड क्लास आदमी नहीं सर।,humor,Third class man like me is not sir.
1250,386,हाय भगवान्,non-humor,Hi god
1251,387,हां तो तुम मेरी तरफ से फूलों का गुलदस्ता ले जाना।,non-humor,"Yes, you take a bouquet of flowers from my side."
1252,388,फूलों का गुलदस्ता भी नहीं ले जा सकते सर।,non-humor,The bouquet of flowers can not be taken too.
1253,389,क्यों,non-humor,Why
1254,390,झोपड़ पट्टी वालों ने फूल देने से मना किया है।,non-humor,The hut strip has refused to give flowers.
1255,391,अब क्या हुआ,non-humor,now what happened
1256,392,सर पिछली बार झोपड़ पट्टी वालों के लिए एक अभिनेत्री ने  भूख हड़ताल की थी,non-humor,"Sir, an actress had a hunger strike for the hut bar"
1257,393,किसी ने उसे फूलों का हार पहनाया था।,non-humor,Someone had a defeat of flowers.
1258,394,भूख के मारे बेचारी सारे गेंदे के फूल खा गई गाय की तरह।,humor,Like the cow ate the flower of all the lions of the poor.
1259,395,इसका मतलब मेरी प्रेमा जी भूखी रहेंगी।,humor,This means my love will be hungry.
1260,396,हां।,non-humor,Yes.
1261,397,मेरी प्रेमा जी भूखी रहेगी।,humor,My love will be hungry.
1262,399,डॉल ये तुम क्या कर रही हो क्या हो गया तुम्हें,non-humor,Doll this is what you are doing
1263,400,दिल मेरे पास आना।,non-humor,Heart come to me
1264,401,अभी इसी वक्त,humor,At the same time
1265,402,शट अप दिल।,non-humor,Shut up heart
1266,403,मुझे कुछ कहना है।,non-humor,I have to say something.
1267,404,हां बोलो।,non-humor,"Yes, say."
1268,405,मेरे लिए कुछ खाने को लेकर आओ।,humor,Come on to eat something for me.
1269,406,शी,non-humor,She
1270,407,क्या शी,non-humor,What is
1271,408,जाओ कुछ लेकर आओ खाने के लिए।,non-humor,Go to eat something to eat.
1272,409,डॉल तुम्हारे अनशन को शुरु हुए 24 घंटे भी नहीं हुए।,humor,Doll did not even get your fast 24 hours.
1273,410,बातें कम करो और खाने को कुछ लेकर आओ।,non-humor,Reduce things and bring something to eat.
1274,411,डॉल ये तुम क्या कर रही हो डॉल,non-humor,Doll this is what you are doing doll
1275,412,तुम भूख हड़ताल पर हो।,non-humor,You're on the hunger strike.
1276,413,अरे नेता आएगा तुम्हारा अनशन तोड़ेगा,humor,Hey leader will break your fast
1277,414,फिर हर एक न्यज पेपर में तुम्हारी फोटोग्राफ छपेगी।,non-humor,Then your photograph will be printed in every single dignity paper.
1278,415,या।,humor,or.
1279,416,पॉलीटिक्स में ज्वाइन करने के लिए ये सब करना पड़ता है।,non-humor,All this has to be done to join Politics.
1280,417,मैं जब भूख से मर जाउंगी तब फोटो छापेंगी,humor,When I die from hunger then photo will print
1281,0,क्या कर रहे हो दिल,non-humor,What are you doing
1282,1,पनीर टिक्का।,humor,Paneer tikka
1283,2,मैं यहाँ भूखी प्यासी बैठी हूँ,non-humor,I am sitting here hungry
1284,3,और तुम पनीर टिक्का खा रहे हो।,non-humor,And you are eating cheese tikka.
1285,4,डॉल तुम भूखी प्यासी नहीं बैठी हो।,humor,Doll you are not sitting on hungry.
1286,5,तुम भूख हड़ताल पर बैठी हो।,humor,You are sitting on the hunger strike.
1287,6,तो तुम मेरा साथ नहीं दोगे,non-humor,So you will not be with me
1288,7,नहीं मुझे कहां तुम्हारी तरह पतली हीरोइन बननी है।,humor,"No, where do I have thin heroine like you?"
1289,8,दिल  थोड़ा दो ना।,humor,Do not give a little bit
1290,9,उहू।,non-humor,Uhu.
1291,10,दिल ।।,non-humor,Heart ..
1292,11,प्लीज।,non-humor,Please.
1293,12,अच्छा बाबा। देता हूं।,non-humor,Good BabaLet me
1294,13,बच्चों,non-humor,Children
1295,14,या अच्छो  मेरा मतलब है यहाँ आना।,humor,Or good I mean to come here.
1296,15,यहां छुपा दो नीचे छुपा दो। इन्हें मत दिखाना।,non-humor,Hide hide down here.Do not show them.
1297,16,देता हूँ देता हूँ ,non-humor,Let me give
1298,17,बच्चों ये लो। आपस में मिलबाटकर का लेना या।,humor,Take these childrenTake it together.
1299,18,ओह,non-humor,Oh
1300,19,ये तुमने क्या किया दिल,non-humor,What did you do
1301,20,मैं यहाँ भूखी प्यासी बैठी हूं तुमने उन बच्चों को ।।,non-humor,I am sitting here hungry thirsty.
1302,21,बच्चों मत खाना। मत खाना बच्चों ,humor,Do not eat childrenDo not eat children
1303,22,डॉल अगर गरीबों बच्छों को खिलाऊंगा,non-humor,If the poor will feed the poor
1304,23,मुझे दुआएं मिलेंगी।,non-humor,I will get prayers.
1305,24,और अगर मैं तुम्हें खिलाउगा,non-humor,And if I will feed you
